ⲥⲉⲥⲱⲧⲙ	ⲥⲉ|ⲥⲱⲧⲙ
ⲣⲱ	ⲣⲱ
ⲉⲩⲡⲟⲣⲛⲉⲓⲁ	ⲉ|ⲩ|ⲡⲟⲣⲛⲉⲓⲁ
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	ⲛϩⲏⲧ|ⲧⲏⲩⲧⲛ
ⲁⲩⲱ	ⲁⲩⲱ
ⲟⲩⲡⲟⲣⲛⲉⲓⲁ	ⲟⲩ|ⲡⲟⲣⲛⲉⲓⲁ
ⲛⲧⲉⲓⲙⲓⲛⲉ	ⲛ|ⲧⲉⲓ|ⲙⲓⲛⲉ
ⲉⲛⲥϩⲛⲛⲕⲉϩⲉⲑⲛⲟⲥ	ⲉ|ⲛ|ⲥ|ϩⲛ|ⲛ|ⲕⲉ|ϩⲉⲑⲛⲟⲥ
ⲁⲛ	ⲁⲛ
.	.
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲉⲧⲣⲉⲟⲩⲁ	ⲉ|ⲧⲣⲉ|ⲟⲩⲁ
ϫⲓⲧϩⲓⲙⲉ	ϫⲓ|ⲧ|ϩⲓⲙⲉ
ⲙⲡⲉϥⲉⲓⲱⲧ	ⲙ|ⲡⲉϥ|ⲉⲓⲱⲧ
.	.
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ
ⲧⲉⲧⲛϫⲟⲥⲉ	ⲧⲉⲧⲛ|ϫⲟⲥⲉ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲧⲁⲧⲉⲧⲛⲣϩⲏⲃⲉ	ⲛⲧ|ⲁ|ⲧⲉⲧⲛ|ⲣϩⲏⲃⲉ
ⲁⲛ	ⲁⲛ
ⲛϩⲟⲩⲟ	ⲛϩⲟⲩⲟ
.	.
ϫⲉⲕⲁⲁⲥ	ϫⲉⲕⲁⲁⲥ
ⲉⲩⲉϥⲓ	ⲉⲩⲉ|ϥⲓ
ϩⲛⲧⲉⲧⲛⲙⲏⲧⲉ	ϩⲛ|ⲧⲉⲧⲛ|ⲙⲏⲧⲉ
ⲙⲡⲉⲛⲧⲁϥⲉⲓⲣⲉ	ⲙ|ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ⲉⲓⲣⲉ
ⲙⲡⲉⲓϩⲱⲃ	ⲙ|ⲡⲉⲓ|ϩⲱⲃ
.	.
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ
ⲅⲁⲣ	ⲅⲁⲣ
ⲉⲛϯϩⲁⲧⲉⲧⲏⲩⲧⲛ	ⲉ|ⲛ|ϯ|ϩⲁⲧⲉ|ⲧⲏⲩⲧⲛ
ⲁⲛ	ⲁⲛ
ϩⲙⲡⲥⲱⲙⲁ	ϩⲙ|ⲡ|ⲥⲱⲙⲁ
.	.
ⲉⲓϩⲁⲧⲉⲧⲏⲩⲧⲛ	ⲉ|ⲓ|ϩⲁⲧⲉ|ⲧⲏⲩⲧⲛ
ⲇⲉ	ⲇⲉ
ϩⲙⲡⲉⲡⲛⲉⲩⲙⲁ	ϩⲙ|ⲡⲉ|ⲡⲛⲉⲩⲙⲁ
.	.
ⲁⲓⲟⲩⲱ	ⲁ|ⲓ|ⲟⲩⲱ
ⲉⲓⲕⲣⲓⲛⲉ	ⲉ|ⲓ|ⲕⲣⲓⲛⲉ
ϩⲱⲥ	ϩⲱⲥ
ⲉⲓϩⲁⲧⲛⲧⲏⲩⲧⲛ	ⲉ|ⲓ|ϩⲁⲧⲛ|ⲧⲏⲩⲧⲛ
